LA REDOUTE se réserve le droit de modifier à tout moment les Conditions Générales. Elles seront alors applicables dès leur mise en ligne.,0,,,,,,,,,,,,,,,,
"nous mettons en oeuvre tous les moyens dont nous disposons pour assurer les prestations objet des présentes conditions’ générales de vente. Nous sommes responsables de tous dommages directs. En aucun cas nous n’encourons de responsabilité pour pertes de bénéfice, pertes commerciales, pertes de données ou manque à gagner ou tous autres dommages indirects ",1,,,,,,,,,,,,,,
les participants utilisent le site à leurs risques et périls. (Le professionnel) décline toute responsabilité quant à la licéité des articles proposés à la vente … à la légalité de la commercialisation des articles proposés ,1,,,,,,,,,,,,,,,,
" les participant s’engagent à exonérer (le professionnel) de toute responsabilité en cas de litige survenant entre plusieurs participants et ayant pour objet ou pour origine une offre de vente, le contrat de vente ou l’exécution du contrat de vente (…). Les participants renoncent à engager la responsabilité (du professionnel) en cas d’action ou de litige (notamment actions en contrefaçon) portant sur des informations communiquées par les participants sur (le site)  ",1,,,,,,,,,,,,,,,
"le vendeur reconnaît expressément et accepte d’ores et déjà qu’en cas de non-respect des présentes conditions de participation, (le professionnel) se réserve le droit, à sa libre discrétion, et sans que sa responsabilité soit recherchée à ce titre : – soit de refuser tout versement au vendeur, – soit de verser les avoirs du vendeur sur un compte de consignation, – soit de rembourser le prix à l’acheteur",1,,,,,,,,,,,
"la responsabilité du professionnel ne saurait être engagée en raison de faits indépendants de sa volonté comme, notamment, l’interruption du service résultant de la défaillance du réseau de l’opérateur de télécommunications, ou la défaillance du matériel de réception des destinataires des messages, ",1,,,,,,,,,,,,
le professionnel n’apporte aucune garantie et n’assume aucune responsabilité sur les contenus audiovisuels ou d’autres natures qui circulent à travers son réseau,1,,,,,,,,,,,,,,,,
"pour une commande destinée à l’international, le client est informé que le produit floral choisi peut ne pas être adapté au pays choisi et (que le professionnel) ne pourra en être responsable ",1,,,,,,,,,,,,,,,
"ne peuvent en aucun cas être tenus responsables d’un retard de livraison dû à une cause indépendante de leur volonté et notamment en cas d’intempérie, catastrophe, grève, force majeure, coordonnées incomplètes ou imprécises du destinataire ou du client, absence du destinataire ",1,,,,,,,,,,,
permet au professionnel de modifier unilatéralement le contenant sans information du client par un autre de valeur égale mais n’ayant pas nécessairement des caractéristiques équivalentes  ,0,,,,,,,,,,,,,,,,
"se réserve la possibilité de suspendre l’accès à ses services pour des raisons de maintenance ou de mise à jour. (Le professionnel) préviendra, sur son site Internet et/ou sur les forums de discussions internes et dans la mesure du possible, les Usagers des opérations de maintenance ou de mise à jour envisagées ou en cours, et ce sans être tenu à aucune garantie ni indemnité et/ou dommages-intérêts d’aucune sorte vis-à-vis des usagers",0,,,,,,,,,,,,,
"autorise le professionnel à réactualiser les termes de ses conditions générales afin de prendre en compte toute évolution légale, juridique et technique, et prévoit que, lorsqu’elles ont pour conséquence d’aboutir à une amélioration du service pour l’usager, les conditions générales en ligne prévalent sur les conditions imprimées ; qu’en outre il est fait obligation au consommateur de se tenir au courant des éventuelles modifications apportées aux conditions générales qu’il pourra consulter sur le site du professionnel, et, qu’à défaut de résiliation de sa part, il sera réputé avoir accepté ces modifications ",0,,,,,,,,,
"AOL et ses FS ainsi que les tiers fournisseurs se réservent le droit de modifier ou interrompre à tout moment certains aspects du service AOL, y compris des contenus ou services ",0,,,,,,,,,,,,,,,
"Nous nous réservons le droit de modifier nos tarifs et modalités de facturation en respectant un préavis de trente (30) jours minimum. Vous en serez informé par une promotion sur l'écran d'accueil, par courrier électronique sur votre compte principal, et dans la lettre mensuelle de AOLF ( Mot-clé AOL : Streppoz). ",0,,,,,,,,,,,,,,
"Du fait de la constante évolution de l'internet et des activités des sociétés du groupe AOL, nous pouvons être amenés à modifier ou remplacer certaines stipulations des CGU et CP",0,,,,,,,,,,,,,,,
"Notre responsabilité ne sera pas engagée en cas de retard dû à une rupture de stock chez l'éditeur ou chez le fournisseur. En outre, notre responsabilité ne sera pas engagée en cas de différences mineures entre les photos de présentation des articles et les textes affichés sur le Site Internet Amazon.fr, et les produits livrés.",1,,,,,,,,,,,,,,
"Nous nous réservons le droit de faire des changements à notre Site Internet, nos procédures, et à nos termes et conditions, y compris les présentes Conditions Générales de Vente à tout moment. Vous êtes soumis aux termes et conditions, procédures et Conditions Générales de Vente en vigueur au moment où vous nous commandez un produit, sauf si un changement à ces termes et conditions, ou les présentes Conditions Générales de Vente est exigé par une autorité administrative ou gouvernementale (dans ce cas, cette modification peut s'appliquer aux commandes antérieures que vous avez effectuées). ",0,,,,,,,,,
" Alibaba.com peut  à  tout moment restreindre, suspendre ou résilier l’utilisation par le Membre des Services ou Sites  à  son entière discrétion, sans lui  être redevable si elle a  été  informée du non-respect d’un contrat par le Membre ou d'un engagement qu'il a pris envers une société  affiliée d’Alibaba.com, y compris mais sans s’y limiter, Taobao, Alipay et China Yahoo!, et si ledit manquement implique ou est raisonnablement supposé  impliquer des activités malhonnêtes ou frauduleuses.   ",2,,,,,,,,,,
"Chaque Membre accepte d’indemniser Alibaba.com, ses sociétés affiliées, administrateurs, employés, agents et représentants, et de les dégager de toute responsabilité pour l’ensemble des dommages, pertes, réclamations et engagements (y compris les frais judiciaires sur la base d’une indemnisation intégrale) pouvant survenir lors de l'envoi, la publication ou la suppression de Contenus utilisateurs, du fait de votre utilisation ou accès aux Sites ou Services, ou de votre non-respect des Conditions ou de tout Contrat supplémentaire.",1,,,,,,
"Alibaba.com se dégage de toute responsabilité à l’égard des dommages, réclamations, engagements, coûts, préjudices, inconvénients, interruptions d'activité ou frais pouvant être associés aux Risques liés aux transactions.",1,,,,,,,,,,
",,,,,,,,,,,,,,,,,
[NomSociété] se réserve la faculté de modifier à tout moment les présentes conditions générales de vente",0,,,,,,,,,,,,,,,,
"[NomSociété] n'endosse aucune responsabilité au titre des contenus, publicités, produits et/ou services disponibles sur de tels sites et applications mobiles tiers dont il est rappelé qu’ils sont régis par leurs propres conditions d’utilisation.",1,,,,,,,,,,,,,,
"L'Utilisateur est seul responsable de l'usage des donne?es qu'il consulte, interroge et transfe?re sur Exilib.Dans le cas ou? la responsabilite? de la Société serait recherche?e du fait d'un manquement par un Utilisateur aux obligations qui lui incombent au terme de la loi ou des CGU, ce dernier s'engage a? garantir la Société contre toute condamnation prononce?e a? son encontre et trouvant son origine dans le manquement impute? a? l'Utilisateur.",1,,,,,,,,,,,,,,
La Société se réserve le droit de procéder à des modifications des présentes CGU. Toutes modifications remplacent et annulent les pre?ce?dentes stipulations de?s lors qu'elles ont e?te? accepte?es de fac?on expresse par les Utilisateurs.,0,,,,,,,,,,,,,,,,
FINALGO ne garantit pas la continuité et la qualité des liaisons de communications avec l’Utilisateur. ,1,,,,,,,,,,,,,,,,
"RÉSILIATION À NOTRE INITIATIVE Nous pouvons résilier votre Contrat sans vous verser d’indemnité : 1) avec un préavis d’1 mois après vous avoir contacté au-delà de votre période d’engagement ; 2) à partir du 10ème jour suivant la suspension de votre ligne et sauf en cas de régularisation dans les cas suivants : non-paiement d’une facture, d’une échéance ou de frais de mise en service, dossier incomplet ; 3) impossibilité pour le technicien de procéder à une Installation à domicile pour le réseau fibre optique ; 4) absence de Services Fixes dans les 30 jours suivant la réception du courrier de confirmation de souscription. En cas de résiliation, les redevances restantes sont dues suivant les modalités visées ci-dessus. ",2,,,,,,,,,,,,,
"Free Mobile pourra suspendre après notification préalable par tout moyen, sans,,,,,,,,,,,,,,,,
indemnité, tout ou partie du Service en cas de :,,,,,,,,,,,,,,,,
- violation par l’abonné des dispositions légales ou de l’une de ses obligations,,,,,,,,,,,,,,,,,
contractuelles prévues au Contrat.",2,,,,,,,,,,,,,,,,
"le professionnel se réserve le droit de suspendre ou de résilier en cas d’abus massifs, le service de téléphonie sans que l’usager ne puisse prétendre à la moindre indemnité",2,,,,,,,,,,,,,,,
"le professionnel se réserve le droit de résilier ou de suspendre de plein droit le contrat, sans que l’Usager ne puisse lui demander une quelconque indemnité, en cas de violation grave ou renouvelée d’une des clauses des présentes conditions générales de vente (du professionnel) en particulier dans le cas où …",2,,,,,,,,,,,,,,
"professionnel le droit de résilier ou de suspendre, de plein droit, sans préavis ni formalité judiciaire, le contrat par courrier électronique, en cas d’incident ou de retard de paiement",2,,,,,,,,,,,,
" le professionnel se réserve le droit de suspendre ou de résilier immédiatement, de plein droit, sans indemnité, et sans formalités judiciaires, tout abonnement ou service en cas de violation du contrat",2,,,,,,,,,,,,
"la banque peut résilier l’autorisation de découvert à tout moment, sans avoir à justifier sa décision, par lettre recommandée avec accusé de réception.",2,,,,,,,,,,,,,,
"Compte tenu de la nature de l’activité d’Y et du Contenu, nécessairement tributaires des évolutions techniques, Y et les tiers fournisseurs seront amenés à procéder à des mises à jour du Contenu ainsi qu’à des modifications ou interruptions de ce Contenu.",0,,,,,,,,,,,,,,
"Nous nous réservons le droit de modifier nos tarifs et modalités de facturation en respectant un préavis de trente (30) jours minimum. Vous en serez informé par une promotion sur l’écran d’accueil, par courrier électronique sur votre compte principal, et dans la lettre mensuelle de AOLF ",0,,,,,,,,,,,,,,
"Pour tout contrat à durée indéterminée, nous nous réservons le droit de modifier nos tarifs et modalités de facturation en respectant un préavis de trente (30) jours minimum. Pour tout contrat à durée déterminée à reconduction automatique, nous nous réservons le droit de modifier, à compter de l’expiration de la durée déterminée, nos tarifs et modalités de facturation en respectant un préavis de trente (30) jours minimum. Vous en serez informé par une mention sur la page d’accueil du service Y et par courrier électronique à l’adresse e-mail liée à votre pseudonyme principal.»",0,,,,,,,,,,,,
"Du fait de la constante évolution de l’internet et des activités des sociétés du groupe Y, nous pouvons être amenés à modifier ou remplacer certaines stipulations des CGU et CP.",0,,,,,,,,,,,,,,,
"Si vous ne notifiez pas à Y, dans le délai de 30 jours précité, votre volonté de bénéficier de l’une de ces formules ou de mettre fin à votre abonnement dans les formes de l’article 14.2, une formule d’abonnement par défaut vous sera appliquée à l’expiration de ce délai.",0,,,,,,,,,,,,,
"?L’abonnement est résilié de plein droit sans préavis, ni indemnité par le Club aux motifs suivants : -dans le cas où l’attitude, le comportement ou la tenue de l’Abonné(e) serait contraire aux bonnes mœurs ou causerait un trouble au bon fonctionnement des activités, ou serait non conforme au présent contrat ou en cas de défaut de paiement,",2,,,,,,,,,,,,
"Le vendeur pourra résilier le présent contrat en cas d’inexécution par l’acheteur de l’une quelconque de ses obligations, et notamment si l’acheteur ne prend pas livraison, n’acquitte pas l’intégralité du prix du véhicule commandé dans le délai de 30 jours prévus à l’article IV ci-dessus.'",2,,,,,,,,,,,,,,
"Y se réserve le droit, à son entière discrétion, de résilier, à tout moment et sans préavis, les présentes conditions de participation, d’interdire l’accès au site ou à la plate-forme marketplace, et / ou d’interdire une vente en cours.”;",2,,,,,,,,,,
"X se réserve le droit de suspendre et/ou de résilier immédiatement, de plein droit, sans indemnité, et sans formalités judiciaires, tout abonnement ou service en cas de violation des présentes Conditions Générales d’Utilisation, notamment dans tous les cas suivants?:",2,,,,,,,,,,,
"Sans restreindre ses autres droits de mettre fin à l’accès à la communauté, Spotify se réserve le droit de résilier ou de suspendre votre compte de la communauté Spotify à tout moment si, à sa seule discrétion, Spotify juge que vous contrevenez à toute partie des conditions générales. ",2,,,,,,,,,,,,,
"En aucun cas Spotify, les entreprises de son groupe, leurs cadres, administrateurs, employés et concédants de licence de Spotify ou d’autres tiers ne pourront être tenus responsables de tout dommage direct, indirect, accessoire, spécial ou consécutif (y compris, sans s’y limiter, la perte de données, les interruptions de service, les défaillances informatiques ou les pertes pécuniaires) découlant de l’utilisation ou de l’incapacité d’utiliser la communauté, même si vous aviez informé Spotify de la possibilité de telles pertes, y compris tout dommage en découlant. Votre seul recours quant à tout problème ou toute insatisfaction à l’égard de la communauté consiste à résilier votre compte, tel qu’établi à l’article 9 ci-dessus, et à cesser d’utiliser la communauté. Aucune partie des présentes Conditions générales de la communauté n’enlève ni ne restreint la responsabilité de Spotify quant à de fausses représentations frauduleuses, à un décès ou à tout préjudice personnel causés par sa négligence",1
"Par ailleurs, l’abonnement peut être résilié, à tout moment, par le Club de plein droit sans préavis, ni indemnité dans le cas où l’attitude, le comportement ou la tenue de l’abonné(e) serait contraire aux bonnes mœurs, ou causerait un trouble au bon fonctionnement des activités ou à l’ordre public ou occasionnerait une gêne caractérisée pour les autres abonné(e)s, ou serait non conforme au présent contrat ou au règlement intérieur du Club (notamment et sans que cela soit limitatif en cas de défaut de paiement ou en cas de dénigrement ou d’atteinte à la notoriété du club).",2,,,,,,,,,
"Nous nous réservons le droit de modifier ou de résilier le service pour toute raison, sans préavis et à tout moment.",2,,,,,,,,,,,,,,,
"Nous nous réservons le droit de modifier ou de résilier le service pour toute raison, sans préavis et à tout moment.",0,,,,,,,,,,,,,,,
Nous nous réservons le droit de modifier ou de résilier le service BookingSync pour une raison quelconque et à tout moment sans préavis.,0,,,,,,,,,,,,,,,,
Nous nous réservons le droit de modifier ou de résilier le service BookingSync pour une raison quelconque et à tout moment sans préavis.,2,,,,,,,,,,,,,,,,
La Société se réserve le droit de mettre à jour et modifier les Conditions Générales en affichant les mises à jour et les changements sur le site BookingSync. Il est conseillé de consulter régulièrement les Conditions Générales pour les mises à jour ou les modifications qui peuvent vous concerner.,0,,,,,,,,,,,,,,,,
"Vous reconnaissez et acceptez expressément que la Société ne sera pas tenu responsable des dommages directs, indirects, accessoires, spéciaux, consécutifs ou exemplaires, y compris mais sans s'y limiter. Il ne pourra lui être réclamé des dommages et intérêts pour perte de profits, de clientèle, d'utilisation, de données ou autres pertes intangibles résultant de l'utilisation ou de l'impossibilité d'utiliser le service.",1,,,,,,,,
"Storefront se réserve le droit, de manière discrétionnaire, de suspendre ou résilier le Compte d’un Utilisateur ainsi que de cesser de fournir tout ou partie des Services à tout moment et sans préavis, y compris, mais pas seulement, si Storefront croit raisonnablement que : - L’Utilisateur a violé les Conditions Générales ; ou -  L’Utilisateur a un comportement à risque qui pourrait causer un préjudice à Storefront",2,,,,,,,,,,,
le loueur se réserve la possibilité de résilier le contrat en cas de non-paiement à échéance d’un seul terme de loyer ou en cas d’inexécution par le locataire d’une seule des conditions générales ou particulières de location visées dans la présente convention.,2,,,,,,,,,,,,,,,,
"se réserve le droit de résilier ou de suspendre de plein droit le contrat, sans que l’Usager ne puisse lui demander une quelconque indemnité, en cas de violation grave ou renouvelée d’une des clauses des présentes conditions générales de vente (du professionnel) en particulier dans le cas où …",2,,,,,,,,,,,,,,
" professionnel a le droit de résilier ou de suspendre, de plein droit, sans préavis ni formalité judiciaire, le contrat par courrier électronique, en cas d’incident ou de retard de paiement, et sans que l’usager puisse prétendre à une quelconque indemnité du fait de l’interruption de l’accès au service",2,,,,,,,,,,,
la banque a le droit de retirer ou de faire retirer ou de bloquer l’usage de la carte à tout moment ( notamment en cas d’utilisation irrégulière) ou de ne pas la renouveler ,0,,,,,,,,,,,,,,,,
"a banque a le droit à tout moment de retirer ou de faire retirer, ou de ne pas renouveler Moneo, ou encore de bloquer le chargement de Moneo en monnaie électronique ",0,,,,,,,,,,,,,,
"Si vous ne notifiez pas, dans le délai de 30 jours précité, votre volonté de bénéficier de l’une de ces formules ou de mettre fin à votre abonnement dans les formes de l’article X, une formule d’abonnement par défaut vous sera appliquée à l’expiration de ce délai ",0,,,,,,,,,,,,,
"Dans le cas d’un nombre d’adhérents insuffisants aux cours proposés, les cours collectifs sont susceptibles d’être modifiés dans leurs horaires et leurs contenus.",0,,,,,,,,,,,,,,,
La Direction se réserve le droit de modifier les horaires et les activités du Club.,0,,,,,,,,,,,,,,,,
"FRANCE TELEVISIONS se réserve le droit de modifier ou de supprimer, tout ou partie des Sites et Applications FRANCE TELEVISIONS et ce, sans préavis et sans avoir à en informer préalablement les utilisateurs, personnes physiques ou morales quelles que soient leurs qualités et activités commerciales, des Sites et Applications FRANCE TELEVISIONS (ci-après « Utilisateur(s) »)",0,,,,,,,,,,,,
LACAMELEON se réserve le droit de modifier les présentes conditions générales de vente à tout moment.,0,,,,,,,,,,,,,,,,
"conformément aux dispositions du code de la consommation, la banque aura le droit de modifier unilatéralement les conditions générales de la présente convention et/ou des produits et services qu’elle propose ",0,,,,,,,,,,,,,,,
 Les identifiants peuvent être modifiés par le professionnel à tout moment par envoi d’un courrier au client ;,0,,,,,,,,,,,,,,,,
"Nous vous informerons par lettre simple de toute modification du Contrat, sans opposition de votre part à ces modifications sous 30 jours, celles-ci seront réputées acceptées par Vous et seront dès lors applicables ",0,,,,,,,,,,,,,,
"Compte tenu de la nature de l’activité d’Y et du Contenu, nécessairement tributaires des évolutions techniques, Y et les tiers fournisseurs seront amenés à procéder à des mises à jour du Contenu ainsi qu’à des modifications ou interruptions de ce Contenu.",0,,,,,,,,,,,,,,
la société  se réserve la possibilité de modifier à tout moment le volume de stockage alloué moyennant un préavis de 30 jours … qui sera porté à la connaissance du client par un message envoyé sur sa boîte aux lettres électronique personnelle ou par diffusion sur le site Wanadoo;,0,,,,,,,,,,,,,,,,
"En aucun cas nous n’encourons de responsabilité pour pertes de bénéfice, pertes commerciales, pertes de données ou manque à gagner ou tous autres dommages indirects.",1,,,,,,,,,,,,,,
 Le professionnel décline toute responsabilité quant à la licéité des articles proposés à la vente et à la légalité de la commercialisation des articles proposés.,1,,,,,,33,,,,,,,,,,
"Le prestataire n’est pas responsable des contenus fournis et des dommages qui peuvent naître de leur utilisation, à moins que de tels dommages aient été causés intentionnellement par lui ",1,,,,,,,,,,,,,,,
"La clause stipulant que le consommateur reconnaît que l’accès à Internet, les logiciels, les outils de détection anti-virus de tiers, tout logiciel de tiers et Internet sont mis à sa disposition pour son utilisation personnelle, et qu’il les utilise à ses risques et périls.",1,,,,,,,,,,,,
La Société n’est en rien responsable de dommages pouvant survenir à l’équipement de l’Usager du fait de leur connexion.,1,,,,,,,,,,,,,,,,
"L’abonné ne pourrait prétendre à d’autres indemnités et dommages-intérêts que le remboursement des règlements effectués, au titre des frais d’abonnement (…) au cours des deux derniers mois, sans préjudice de saisine des juridictions compétentes ",1,,,,,,,,,,,,,,
" La Société ne peut être responsable des interruptions, suspensions ou perturbations de service causées notamment par des travaux d’entretien, de renforcement, de réaménagement ou d’extension des installations du réseau. ",1,,,,,,,,,,,,,
Telecom ne pouvant en aucun cas en être tenue pour responsable.,1,,,,,,,,,,,,,,,,
"La responsabilité de Y Télécom ne peut être engagée au cas d’inexécution où l’inexécution ou la mauvaise exécution ou le retard dans l’exécution d’une ou plusieurs des obligations à sa charge au titre des présentes CGV, résulte d’un cas de force majeure tel que retenu par les tribunaux français.",1,,,,,,,,,,,,,,,
"Il est expressément rappelé que X ne saurait être tenue responsable en cas de perte de toute donnée, email, ou information, stockés par le service, dans le cadre d’un usage personnel, professionnel et/ou commercial que l’utilisateur aura choisi d’appliquer, alors même que cela entraînerait pour ce dernier des dommages indirects.",1,,,,,,,,,,
